속담 앞부분,속담 뒷부분,의미,난이도
가는 말이 고와야,오는 말이 곱다,내가 남에게 말을 곱게 해야 남도 나에게 곱게 말한다.,하
가는 날이,장날이다,어떤 일을 하려는데 공교롭게 다른 일이 겹친다.,중
가지 많은 나무에,바람 잘 날 없다,자식이 많은 부모는 걱정이 끊이지 않는다.,중
강 건너,불구경,자기와 상관없는 일이라며 무심히 바라본다.,하
개구리 올챙이 적,생각 못 한다,형편이 나아지면 어려웠던 시절을 잊고 잘난 체한다.,하
개천에서,용 난다,변변치 못한 환경에서 훌륭한 인물이 나온다.,하
고생 끝에,낙이 온다,힘든 일을 견디고 나면 좋은 날이 온다.,하
공든 탑이,무너지랴,정성을 다해 한 일은 헛되지 않는다.,중
구르는 돌은,이끼가 끼지 않는다,부지런히 애쓰는 사람은 뒤처지지 않는다.,중
떡 줄 사람은 꿈도 안 꾸는데,김칫국부터 마신다,일이 될지도 모르는데 미리 다 된 것처럼 기대한다.,중
낮말은 새가 듣고,밤말은 쥐가 듣는다,아무도 없는 것 같아도 말은 조심해야 한다.,하
내 코가,석 자,내 사정이 급해서 남을 돌볼 여유가 없다.,중
누워서,떡 먹기,하기가 아주 쉽다.,하
누워서,침 뱉기,남을 해치려다 도리어 자기가 해를 입는다.,하
닭 잡아먹고,오리발 내민다,나쁜 짓을 하고도 시치미를 뗀다.,하
도둑이,제 발 저리다,잘못을 저지른 사람은 스스로 불안해한다.,하
돌다리도,두들겨 보고 건너라,잘 아는 일이라도 확인하며 신중히 해야 한다.,하
등잔 밑이,어둡다,가까이 있는 것을 오히려 잘 알지 못한다.,하
말 한마디로,천 냥 빚을 갚는다,말을 잘하면 어려운 일도 해결할 수 있다.,하
모르는 게,약이다,아예 모르고 있는 편이 마음 편할 때가 있다.,하
믿는 도끼에,발등 찍힌다,믿었던 사람이나 일에 오히려 해를 입는다.,하
밑 빠진 독에,물 붓기,아무리 애를 써도 보람이 없다.,하
바늘 도둑이,소도둑 된다,작은 잘못도 자꾸 하면 큰 죄를 짓게 된다.,하
발 없는 말이,천 리 간다,말은 순식간에 멀리 퍼지니 조심해야 한다.,하
배보다,배꼽이 더 크다,중심이 되는 것보다 덧붙은 것이 더 크다.,하
백지장도,맞들면 낫다,쉬운 일도 서로 힘을 합하면 훨씬 수월하다.,중
빈 수레가,요란하다,아는 것이 없는 사람이 오히려 더 떠들어 댄다.,중
세 살 버릇,여든까지 간다,어릴 때 몸에 밴 습관은 늙어서도 고치기 어렵다.,하
소 잃고,외양간 고친다,일을 그르친 뒤에야 뒤늦게 손을 쓴다.,하
시작이,반이다,시작하기가 어렵지 일단 시작하면 절반은 한 셈이다.,하
아는 길도,물어 가라,잘 아는 일이라도 조심해야 실수가 없다.,하
열 번 찍어,안 넘어가는 나무 없다,끈기 있게 계속 노력하면 결국 이루어진다.,하
옷이,날개다,옷을 잘 입으면 사람이 훨씬 돋보인다.,하
